manufacturer,model,measured_at,status,note
Ford,Bronco U13/U14/U15 1966-1977,2026-08-29T20:10:06Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Ford+Bronco+U13%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIz
Ford,Excursion,2026-08-29T20:19:19Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Ford+Excursion%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIza
Ford,F-150,2026-08-29T20:20:57Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Ford+F-150%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIzaSyB4
Ford,F-Series 1967-1972,2026-08-29T20:12:46Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Ford+F-Series%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIzaS
Ford,F-Series 1973-1979,2026-08-29T20:11:20Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Ford+F-Series%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIzaS
Ford,F-Series 1992-1997,2026-08-29T20:09:29Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Ford+F-Series%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIzaS
Ford,Fox-Body Mustang,2026-08-29T20:11:57Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Ford+Fox-Body+Mustang%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&k
Ford,MUSTANG,2026-08-29T20:09:54Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Ford+MUSTANG%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIzaSy
Ford,Super Duty 1999-2007,2026-08-29T20:14:12Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Ford+Super+Duty%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AIz
Ford,Thunderbird,2026-08-29T20:09:42Z,error,429 from https://www.googleapis.com/youtube/v3/search?part=snippet&q=%22Ford+Thunderbird%22&type=video&order=viewCount&maxResults=50&publishedAfter=2025-08-01T00%3A00%3A00Z&relevanceLanguage=en&key=AI
